published,title,author,summary
2017-02-15T13:29:04Z,Top Quark Physics at the High Luminosity LHC,"Patrizia Azzi,Markus Cristinziani","  A summary of the prospects for top-quark physics at the High Luminosity LHC.
"
1998-04-27T11:20:04Z,Particle Diffraction at High Energies,Vladimir A. Petrov,"  A brief ideological and historical review of problems of high energy
diffractive scattering is given.
"
2002-09-16T08:48:08Z,String/Gauge Correspondence; View from the High Energy Side,A. Gorsky,"  We briefly review the recent progress concerning the application of the
hidden integrability to the derivation of the stringy/brane picture for the
high energy QCD.
"
2011-01-12T17:17:26Z,"Influence of Multiple Scattering on High-energy Deuteron Quasi-optical
  Birefringence Effect","V. G. Baryshevsky,A. R. Shyrvel","  Influence of multiple scattering on high-energy deuteron quasi-optical
birefringence effect is discussed.
"
2024-03-04T19:00:02Z,Expedition to the Zeptouniverse,Andrzej J. Buras,"  Flavour experiments promise insights into energy scales as high as 200 TeV
and distances as small as Zeptometer and offer the chance to identify New
Physics
"
2000-10-14T15:32:24Z,Weak matrix elements and K-meson physics,Massimo Testa,"  An overview is presented about old and recent methods to compute the $K\to
\pi \pi$ decay amplitude.
"
2016-10-19T21:25:20Z,At the Frontier of Precision QCD in the LHC Era,Alexander Karlberg,"  This thesis discusses recent advances in precision calculations of quantum
chromodynamics and their application to the Large Hadron Collider (LHC) physics
program and beyond.
"
1998-10-26T10:33:20Z,Multiparticle Dynamics 1998: Summary talk,I. M. Dremin,"  Contents:
  1. Pomeron physics
  2. Multiplicities
  3. Single-particle distributions
  4. Correlations and fluctuations
  5. Special final states and interaction mechanisms
  6. Cosmic rays and forward detectors
"
2006-07-20T15:54:08Z,Large N gauge theories -- Numerical results,"R. Narayanan,H. Neuberger","  Some physical results in four dimensional large N gauge theories on a
periodic torus are summarized.
"
2010-04-28T18:27:49Z,Top Quark Highlights,Christian Schwanenberger,"  Highlights of top quark physics presented at the 2009 Europhysics Conference
on High Energy Physics from 16-22 July 2009 in Krakow, Poland, are reviewed.
"
2011-01-18T12:39:40Z,Symmetries and the Weak Interactions,John Iliopoulos,"  We trace the origin of the concept which was named by the High Energy Physics
Community ""The Cabibbo angle""
"
2012-02-20T17:23:31Z,Particle Physics in a Season of Change,Chris Quigg,"  A digest of my opening remarks at the 2011 Hadron Collider Physics Symposium.
"
2012-12-14T10:57:57Z,ICHEP2012 Physics Highlights,Riccardo Barbieri,"  I describe some of the highlights of ICHEP2012 with an eye to the current
status of particle physics.
"
1998-01-20T10:01:17Z,Vladimir Gribov (BH),Yu. L. Dokshitzer,"  In memoria of Vladimir Naumovich Gribov
"
2018-08-17T09:50:35Z,Inconsistencies of higgsplosion,Alexander Monin,"  It is shown that higgsplosion scenario is impossible within local QFT
framework.
"
2000-01-03T19:47:14Z,Muon Collider Physics at Very High Energies,M. S. Berger,"  Muon colliders might greatly extend the energy frontier of collider physics.
One can contemplate circular colliders with center-of-mass energies in excess
of 10 TeV. Some physics issues that might be relevant at such a machine are
discussed.
"
1999-11-05T17:17:56Z,Hard scattering in high-energy QCD,M. L. Mangano,"  I review the recent results in the field of QCD at high energy presented to
this Conference. In particular, I will concentrate on measurements of $\as$
from studies of event structures and jet rates, jet production in hadronic
collisions, and heavy quark production.
"
2019-06-23T18:32:00Z,Highlights from the 7 year High Energy Starting Event sample in Icecube,Kareem Farrag,"  Here we outline the main highlights from the 7 year High Energy Starting
Events (HESE) event sample. The next new physics search using astrophysical
neutrino flavor data is described, where we reach the Planck scale for the
first time.
"
2003-10-02T22:49:35Z,"High energy cosmic-rays: puzzles, models, and giga-ton neutrino
  telescopes",E. Waxman,"  The existence of cosmic rays of energies exceeding 10^20 eV is one of the
mysteries of high energy astrophysics. The spectrum and the high energy to
which it extends rule out almost all suggested source models. The challenges
posed by observations to models for the origin of high energy cosmic rays are
reviewed, and the implications of recent new experimental results are
discussed. Large area high energy cosmic ray detectors and large volume high
energy neutrino detectors currently under construction may resolve the high
energy cosmic ray puzzle, and shed light on the identity and physics of the
most powerful accelerators in the universe.
"
1997-01-30T13:39:18Z,Gravity Quantized (the high tension string),"S. Bellucci,A. Shiekh","  A candidate theory of gravity quantized is reviewed.
"
2018-07-09T18:38:19Z,Lattice QCD: Flavor Physics and Spectroscopy,Takashi Kaneko,"  We review highlights of recent results on the hadron spectrum and flavor
physics from lattice QCD. We also discuss recent rapid progress on the muon
anomalous magnetic moment.
"
2002-07-15T19:34:44Z,BUSSTEPP Lectures on String Theory,Richard J. Szabo,"  This paper comprises the written version of the lectures on string theory
delivered at the 31st British Universities Summer School on Theoretical
Elementary Particle Physics which was held in Manchester, England, August 28 -
September 12 2001.
"
2016-12-02T13:26:47Z,Top quark pair asymmetries,Filomena Sopkova,"  In this article, we study top quark pair charge, energy and incline asymmetry
at parton level using Powheg Monte-Carlo generator.
"
1999-04-28T05:52:41Z,Birefringence of high-energy gamma-quanta in the single crystals,V. A. Maisheev,"  Problems of the experimental observation of the birefringence of high-energy
gamma-quanta propagating in single crystals are discussed.
"
2014-06-20T13:28:11Z,QCD and High Energy Interactions: Moriond 2014 Theory Summary,Thomas Gehrmann,"  This article summarizes new theoretical developments, ideas and results that
were presented at the 2014 Moriond ""QCD and High Energy Interactions"".
"
2022-05-20T11:30:06Z,Theoretical summary of Moriond 2022: QCD and high-energy interactions,Kirill Melnikov,"  I review theoretical talks presented at the session on QCD and high-energy
interactions of the Moriond 2022 conference.
"
1995-09-12T08:15:24Z,Lattice Chiral Fermions,Yigal Shamir,"  I review the ongoing attempts to define chiral gauge theories using the
lattice regularization.
"
1999-12-17T10:54:13Z,Some Considerations on Lattice Gauge Fixing,Massimo Testa,"  Some problems related to Gribov copies in lattice gauge-fixing and their
possible solution are discussed.
"
1999-12-20T10:05:03Z,Some Considerations on Chiral Gauge Theories,Massimo Testa,"  Some general considerations on the problem of non-perturbative definition of
Chiral Gauge Theories are presented.
"
2000-12-17T12:41:02Z,Jet algorithms. Wrapping up the subject,F. V. Tkachov,"  This postscriptum to the theory of jet definition [hep-ph/9901444] summarizes
the points which did not find their way into the main text.
"
2001-11-05T11:26:12Z,Overview of deeply virtual Compton scattering,"A. V. Belitsky,D. Müller","  We give a short overview of recent developments in understanding of the
deeply virtual Compton scattering on the proton target.
"
2004-03-13T20:29:30Z,Quantum Chromodynamics and Hadrons: an Elementary Introduction,Alexander Khodjamirian,"  Notes of five lectures given at the 2003 European School of High-Energy
Physics, Tsakhkadzor, Armenia, September 2003
"
1998-03-18T15:13:20Z,Some Observations on Broken Symmetries,M. Testa,"  We present a general analysis of the field theoretical properties which
guarantee the recovery, at the renormalized level, of symmetries broken by
regularization. We also discuss the anomalous case.
"
2001-11-07T03:33:41Z,Dynamics of hot gauge theories,Laurence G. Yaffe,"  A brief overview is given of recent progress in understanding the dynamics of
hot gauge theories.
"
2006-03-21T19:01:39Z,1/q^2 Corrections and Gauge/String Duality,Oleg Andreev,"  We make an estimate of the quadratic correction based on gauge/string
duality. Like in QCD, it proves to be negative and proportional to the string
tension.
"
2011-04-21T11:29:35Z,Confining but chirally symmetric quarkyonic matter,L. Ya. Glozman,"  Here we overview a possible mechanism for confining but chirally symmetric
matter at low temperatures and large densities.
"
2013-10-09T09:03:47Z,Understanding Color Confinement,Adriano Di Giacomo,"  Some aspects are discussed of the mechanism of color confinement in QCD by
condensation of magnetic monopoles in the vacuum.
"
2013-10-18T14:19:35Z,tt Charge asymmetry at hadron colliders,Antoine Chapelain,"  We present the current status for the measurements of the ttbar charge
asymmetry at the Tevatron and LHC colliders.
"
2014-11-18T21:35:57Z,Non-hermitian bosonization,V. K. Sazonov,"  A method for the bosonization of complex actions is presented. Together with
the convergent perturbation theory it provides a conceptually new way for
bypassing fermion sign problems.
"
2016-02-23T03:16:26Z,Future Colliders Symposium in Hong Kong: Scientific Overview,Chris Quigg,"  Opening Lecture at the Hong Kong University of Science and Technology Jockey
Club Institute for Advanced Study Program on High Energy Physics Conference,
January 18--21, 2016.
"
2016-09-22T12:35:32Z,"Theory Vision, LHCP 2016",Frank Wilczek,"  I give my perspective on promising directions for high energy physics in
coming years.
"
2016-09-29T09:43:51Z,"A perturbative approach to the confinement-deconfinement phase
  transition",Urko Reinosa,"  We summarize recent progress in describing the confinement-deconfinement
transition from a novel perturbative approach.
"
2018-11-08T06:12:40Z,Radiative $B$ Decays at Belle,Akimasa Ishikawa,"  We report recent results on radiative $B$ decays at Belle at the KEKB
collider.
"
2016-11-15T00:19:22Z,Hints of new physics from stars,Maurizio Giannotti,"  We review and update the current status of the observed anomalies in stellar
cooling and their interpretation in terms of axions and axion like particles.
"
2022-05-11T18:00:33Z,Naturalness: A Snowmass White Paper,Nathaniel Craig,"  We assess the state of naturalness in high-energy physics and summarize
recent approaches to the three major naturalness problems: the cosmological
constant problem, the electroweak hierarchy problem, and the strong CP problem.
"
2009-09-28T14:31:28Z,Liquid scintillator as tracking detector for high-energy events,Juha Peltoniemi,"  A large-volume liquid scintillator can be used as a tracking detector to
measure high-energy neutrino events, like atmospheric neutrinos and neutrino
beams. The lepton flavor recognition is almost absolute above 1 GeV. The energy
resolution is 2--5 %, the main uncertainties coming from nuclear physics and
poorly recognized hadrons. At GeV scale antineutrinos may be statistically
distinguishable from neutrinos by neutron and proton signals.
"
1996-02-06T15:51:28Z,Energy in Dilaton Gravity in Canonical Approach,M. Z. Iofa,"  An expression for energy in string-inspired dilaton gravity is obtained in
canonical approach.
"
2005-06-27T18:02:25Z,From dense-dilute duality to self duality in high energy evolution,Alex Kovner,"  I describe recent work on inclusion of Pomeron loops in the high energy
evolution. In particular I show that the complete eikonal high energy evolution
kernel must be selfdual.
"
1996-05-24T10:58:06Z,Beyond the Standard Model,Gian F. Giudice,"  Elementary introduction to physics beyond the Standard Model. Lectures
delivered at the 1995 European School of High-Energy Physics in Dubna, Russia.
"
2005-07-05T13:41:53Z,Effective field theories,G. Ecker,"  Draft version of an article prepared for the Encyclopedia of Mathematical
Physics, Elsevier, to appear in 2006.
"
1992-11-30T20:01:50Z,A View From the Island,A. Polyakov,"  This is a brief and subjective description of ideas which formed our present
field-theoretic understanding of fundamental physics.
"
1994-10-25T16:06:16Z,Outreach and Education on High Energy Physics,R. Michael Barnett,"  We review ongoing efforts and discuss possible future directions in informing
the public and educating students about Particle Physics.
"
2012-09-25T23:13:58Z,Lattice results on charmonium,Daniel Mohler,"  Recent lattice QCD results on charmonium spectroscopy are reviewed.
"
2016-07-04T15:14:37Z,Lepton Dipole Moments,Adam West,"  Review of lepton dipole moments produced for the Physics In Collision 2015
conference.
"
2008-07-30T11:43:23Z,Physics Beyond the Standard Model,Jean Iliopoulos,"  We review our expectations in the last year before the LHC commissioning.
"
2002-04-24T17:18:17Z,"Neutrinos, Grand Unification and Leptogenesis",W. Buchmüller,"  Data on solar and atmospheric neutrinos provide evidence for neutrino masses
and mixings. We review some basic neutrino properties, the status of neutrino
oscillations and implications for grand unified theories, including
leptogenesis.
"
2002-12-09T20:38:59Z,Inventory and Outlook of High Energy Physics,Frank Wilczek,"  Summary talk at ICHEP 2002, Amsterdam, July 2002. I have kept very close to
the content and style of the talk as it was delivered. You may access the
associated PowerPoint presentation through a link at
http://www.ichep02.nl/MainPages/PlenaryProgram.html
"
2004-01-07T19:53:06Z,From Concept to Reality to Vision,Frank Wilczek,"  I take a brief look at three frontiers of high-energy physics, illustrating
how important parts of our current thinking evolved from earlier explorations
at preceding frontiers.
"
2005-02-09T11:00:10Z,The interplay between high energy physics and cosmology: an example,Mairi Sakellariadou,"  Cosmology and high energy physics are two closely connected areas. In this
lecture I present an example of their rich interplay.
"
2006-11-24T18:37:23Z,Heavy Hadron Spectroscopy,Antonio Vairo,"  I review recent theoretical advances in heavy hadron spectroscopy.
"
2016-04-10T07:59:23Z,Relativistic Kinematics,Raghunath Sahoo,"  This lecture note covers Relativistic Kinematics, which is very useful for
the beginners in the field of high-energy physics. A very practical approach
has been taken, which answers ""why and how"" of the kinematics useful for
students working in the related areas.
"
2019-10-28T15:49:40Z,Highlights of EPS HEP 2019,Jon Butterworth,"  An opinionated and informal recap of highlights from the EPS HEP 2019
conference in Ghent, including some aspects of flavour physics, neutrinos,
high-density QCD, astrophysics and energy frontier collider physics, and some
thoughts about the future.
"
2021-12-06T19:16:24Z,"Some Recent Results on Renormalization-Group Properties of Quantum Field
  Theories",Robert Shrock,"  We discuss some higher-loop studies of renormalization-group flows and fixed
points in various quantum field theories.
"
2000-02-03T17:15:01Z,Theoretical Summary Lecture for EPS HEP99,Michael E. Peskin,"  This is the proceedings article for the concluding lecture of the 1999 High
Energy Physics Conference of the European Physical Society. In this article, I
review a number of topics that were highlighted at the meeting and have more
general importance in high energy physics. The major topics discussed include:
(1) precision electroweak physics, (2) CP violation, (3) new directions in QCD,
(4) supersymmetry spectroscopy, (5) the experimental physics of extra
dimensions.
"
2018-05-02T08:34:58Z,The 2016 European School of High-Energy Physics,"Martijn Mulders,Giulia Zanderighi","  The European School of High-Energy Physics is intended to give young
physicists an introduction to the theoretical aspects of recent advances in
elementary particle physics. These proceedings contain lecture notes on the
theory of the Weak interaction and Higgs physics, flavour physics and CP
violation, neutrinos, theories beyond the Standard Model, physics at the LHC
Run-2 and beyond, practical statistics for high-energy physicists, and
cosmology and dark matter.
"
2004-11-04T11:27:00Z,Linear collider prospects on electroweak physics,M. Muhlleitner,"  Prospects on electroweak physics at a future International Linear Collider
(ILC) are summarized, including gauge coupling measurements, top quark physics
and Higgs physics.
"
2022-03-16T11:56:53Z,Physics in a diverse world or A Spherical Cow Model of Physics Talent,Howard Georgi,"  Talk at the KITP Conference: Snowmass Theory Frontier - Feb. 23, 2022
"
2015-12-16T11:25:06Z,High Energy Hadron Spin Flip Amplitude,O. V. Selyugin,"  The high energy part of the hadron spin flip amplitude is examined in the
framework of the new high energy general structure (HEGS) model of the elastic
hadron scattering at high energies. The different forms of the hadron spin flip
amplitude are compared in the impact parameters representation. It is shown
that the existing experimental data of the proton-proton and proton-antiproton
elastic scattering at high energy in the region of the diffraction minimum and
at large momentum transfer give support in the presence of the
energy-independent part of the hadron spin flip amplitude with the momentum
dependence proposed in the works by Galynskii-Kuraev.
"
2024-02-29T17:53:00Z,New Physics with PeV Astrophysical Neutrino Beams,Ibrahim Safa,"  Astrophysical neutrinos allow us to access energies and baselines that cannot
be reached by human-made accelerators, offering unique probes of new physics
phenomena. This thesis aims to address the challenges currently facing searches
for Beyond Standard Model (BSM) physics in the high-energy universe using
astrophysical neutrinos, particularly in the contexts of flavor measurements
and connections with dark matter.
"
2010-10-28T14:09:42Z,"Proceedings of the 2009 CERN-Latin-American School of High-Energy
  Physics, Recinto Quirama, Colombia, 15 - 28 March 2009","C. Grojean,M. Spiropulu","  The CERN-Latin-American School of High-Energy Physics is intended to give
young physicists an introduction to the theoretical aspects of recent advances
in elementary particle physics. These proceedings contain lectures on quantum
field theory, quantum chromodynamics, physics beyond the Standard Model,
neutrino physics, flavour physics and CP violation, particle cosmology,
high-energy astro-particle physics, and heavy-ion physics, as well as trigger
and data acquisition, and commissioning and early physics analysis of the ATLAS
and CMS experiments. Also included are write-ups of short review projects
performed by the student discussions groups.
"
2023-01-30T20:35:46Z,On self-consistency in quantum field theory,K. Scharnhorst,"  A bootstrap approach to the effective action in quantum field theory is
discussed which entails the invariance under quantum fluctuations of the
effective action describing physical reality (via the S-matrix).
"
2017-08-03T12:36:19Z,2014 European School of High-Energy Physics,"M. Mulders,G. Zanderighi","  The European School of High-Energy Physics is intended to give young
physicists an introduction to the the- oretical aspects of recent advances in
elementary particle physics. These proceedings contain lecture notes on the
theory of quantum chromodynamics, Higgs physics, Flavour physics and CP
violation, and Supersymmetry.
"
2014-05-05T08:10:43Z,"An extended universality of electron distributions in cosmic ray showers
  of high energies and its application","Maria Giller,Andrzej Smialkowski,Grzegorz Wieczorek","  It is shown that the shape of any electron distribution in a high energy air
shower is the same in all such showers, if taken at the same age, independently
of the primary energy, mass and thus, of the interaction model.
"
2017-05-25T11:16:38Z,"The hard Pomeron impact on the high-energy elastic scattering of
  nucleons",A. A. Godizov,"  The role of the hard Pomeron (HP) exchanges in the high-energy diffractive
interaction of nucleons is explored. It is demonstrated that the HP
subdominance at available energies and low transferred momenta is due to the
extremely low slope of its Regge trajectory.
"
1994-12-05T21:31:41Z,Numerical studies of instanton induced baryon decay,"Claudio Rebbi,Robert Singleton, Jr","  We describe an application of computational techniques to the study of
instanton induced baryon decay in high energy electroweak interactions.
"
2003-01-07T00:43:33Z,Anomaly Matching and Low Energy Theories at High Matter Density,Francesco Sannino,"  I provide new arguments supporting the validity of the t'Hooft anomaly
conditions at non zero quark chemical potential. These constraints strengthen
the quark-hadron continuity scenario. Finally I review the 2SC effective
Lagrangian for color superconductivity.
"
2005-06-16T08:36:00Z,From statistical physics to high energy QCD,Edmond Iancu,"  I discuss recent progress in understanding the high-energy evolution in QCD,
which points towards a remarkable correspondence with the reaction-diffusion
problem of statistical physics.
"
2009-09-21T08:43:43Z,Euclidean-Minkowskian duality of Wilson-loop correlation functions,"M. Giordano,E. Meggiolaro","  We discuss the analyticity properties of the Wilson--loop correlation
functions relevant to the problem of soft high-energy scattering, directly at
the level of the functional integral, in a genuinely nonperturbative way.
"
2013-10-09T12:55:11Z,"Wilson-loop correlators on the lattice and asymptotic behaviour of
  hadronic total cross sections","Matteo Giordano,Enrico Meggiolaro,Niccolò Moretti","  We show how universal, Froissart-like hadronic total cross sections can be
obtained in QCD in the functional-integral approach to soft high-energy
scattering, and we discuss indications of this behaviour obtained from lattice
simulations.
"
2018-07-07T12:30:49Z,Review of (anti-)Nuclei Production from High Energy Experiments,Natasha Sharma,"  An overview of nuclei and anti-nuclei production with results from different
experiments are discussed. The comparison of data with the thermal and
coalescence models is also discussed to understand their production mechanisms
in high energy collisions.
"
2022-04-18T19:02:21Z,"Detecting High-Energy Neutrino Minibursts from Local Supernovae with
  Multiple Neutrino Observatories","Ali Kheirandish,Kohta Murase","  Growing evidence from multi-wavelength observations of extragalactic
supernovae (SNe) has established the presence of dense circumstellar material
in Type II SNe. Interaction between the SN ejecta and the circumstellar
material should lead to diffusive shock acceleration of cosmic rays and
associated high-energy emission. Observation of high-energy neutrinos along
with the MeV neutrinos from SNe will provide unprecedented opportunities to
understand unanswered questions in cosmic-ray and neutrino physics. We show
that current and future neutrino detectors can identify high-energy neutrinos
from an extragalactic SN in the neighborhood of the Milky Way. We present the
prospects for detecting high-energy neutrino minibursts from SNe in known local
galaxies, and demonstrate how the network of multiple high-energy neutrino
detectors will extend the horizon for the identification of high-energy SN
neutrinos. We also discuss high-energy neutrino emission from SN 2023ixf.
"
2001-12-21T18:44:16Z,QCD studies at the high-energy linear e+e- collider,P. N. Burrows,"  I summarise the QCD programme at the high-energy linear e+e- collider, as
reported in the TESLA TDR and Linear Collider Physics Resource Book.
"
1995-09-07T14:42:01Z,Implications of Heavy Top,M. Vysotsky,"  Lecture at 23 ITEP Winter School. Manifestations of heavy top at low energies
(K- and B-mesons) and high energies (Z and W physics) are discussed
"
1998-08-10T22:18:19Z,Introduction to light cone field theory and high energy scattering,Raju Venugopalan,"  In this set of four lectures, we provide an elementary introduction to light
cone field theory and some of its applications in high energy scattering.
"
2000-03-27T14:58:42Z,Deformed Lorentz Symmetry and High-Energy Astrophysics (I),Luis Gonzalez-Mestres,"  An updated discussion of Lorentz symmetry violation in particle physics at
very high energy is presented, focusing on applications of models of deformed
Lorentz symmetry to high-energy astrophysics.
"
2011-07-20T12:38:49Z,The high energy frontier of ultrarelativistic nucleus-nucleus collisions,Federico Antinori,"  An outlook on physics at the high energy frontier of nucleus-nucleus
collisions is presented, on the basis of the new results presented at Quark
Matter 2011 by the LHC and RHIC experiments.
"
2015-03-12T07:23:49Z,Inelastic diffraction and role of reflective scattering at the LHC,"S. M. Troshin,N. E. Tyurin","  We discuss the high-energy dependencies of diffractive and non-diffractive
inelastic cross-sections in view of the recent LHC data which revealed a
presence of the reflective scattering mode.
"
2020-01-15T15:26:43Z,The role of CLIC in Europe's course to the high-energy frontier,"P. N. Burrows,L. Linssen,A. Robson,D. Schulte,S. Stapnes","  We respond to points raised in the recent discussion note arXiv:1912.13466,
""Charting the European course to the high-energy frontier"", which compares the
CLIC and FCC programmes.
"
2015-09-24T19:18:18Z,"Radiative energy loss and radiative p_T-broadening of high-energy
  partons in QCD matter",Bin Wu,"  I give a self-contained review on radiative p_T-broadening and radiative
energy loss of high-energy partons in QCD matter. The typical p_T^2 of
high-energy partons receives a double logarithmic correction due to the
recoiling effect of medium-induced gluon radiation. Such a double logarithmic
term, averaged over the path length of the partons, can be taken as the
radiative correction to the jet quenching parameter qhat and hence contributes
to radiative energy loss. This has also been confirmed by detailed calculations
of energy loss by radiating two gluons.
"
1995-10-24T22:04:14Z,ITEP Lectures in Particle Physics,Mikhail Shifman,"  Introduction to the Lecture Note Volume ""ITEP Lectures in Particle Physics"",
including 25 years of personal reminiscences.
"
